"gender","admitted","department","GPA","GRE"
"female",1,"Accounting",3.50290545732714,275.571964475646
"female",1,"Accounting",2.87396292975172,293.703935262549
"female",1,"Accounting",3.49985574795865,322.977217928846
"female",1,"Accounting",3.48508824529126,320.053251404423
"female",1,"Accounting",3.55855068592355,310.618720977785
"female",1,"Accounting",3.13747377814725,312.357835015209
"female",1,"Accounting",3.08560054427944,264.816453069937
"female",1,"Accounting",2.83013150449842,299.386912417085
"female",1,"Accounting",3.15459213666618,299.252964640179
"female",1,"Accounting",3.10251902444288,348.280598733595
"female",1,"Accounting",3.48849764331244,303.649998977094
"female",1,"Accounting",2.71558034843765,276.542171137334
"female",1,"Accounting",3.44075988167897,337.79253382628
"female",1,"Accounting",3.19689729185775,280.147853504156
"female",1,"Accounting",3.60387919521891,296.482691963241
"female",1,"Accounting",3.53202319056727,308.776827988496
"female",1,"Accounting",2.80350346029736,304.236331592381
"female",1,"Accounting",3.2515775566455,282.659377954405
"female",1,"Accounting",3.58573738909327,312.10623601276
"female",1,"Accounting",3.12171586444601,336.049818161625
"female",1,"Accounting",3.66337181562558,353.522095166084
"female",1,"Accounting",2.85213989256881,301.834354767541
"female",1,"Accounting",3.20596650503576,320.357769750282
"female",1,"Accounting",3.67371037513949,300.113347616017
"female",1,"Accounting",3.39208209495991,349.506500812981
"female",1,"Accounting",2.88522084830329,312.105824222528
"female",1,"Accounting",2.89150379905477,295.767879366519
"female",1,"Accounting",2.78823285275139,327.725857650115
"female",1,"Accounting",3.08369761500508,308.655531802104
"female",1,"Accounting",3.69292869237252,332.831280798135
"female",1,"Accounting",2.99850609693676,309.707802659286
"female",1,"Accounting",3.69899971392006,305.989728781675
"female",1,"Accounting",3.60567069407552,325.663575835812
"female",1,"Accounting",3.04546081139706,294.283206719119
"female",1,"Accounting",3.06092450399883,296.600242807355
"female",1,"Accounting",2.93008714197204,303.213014045069
"female",1,"Accounting",3.46021002302878,284.032439953509
"female",1,"Accounting",3.0752015021164,320.742637863911
"female",1,"Accounting",2.80955746774562,289.109083247628
"female",1,"Accounting",3.54317656396888,310.89737706632
"female",1,"Accounting",3.39906186708249,313.622880768223
"female",1,"Accounting",3.66460598474368,355.046245229358
"female",1,"Accounting",3.47038260456175,270.832425229381
"female",1,"Accounting",3.18108432185836,317.839824971807
"female",1,"Accounting",3.54963254770264,340.343602796566
"female",1,"Accounting",3.40630954299122,304.407881787946
"female",1,"Accounting",2.84021074865013,287.736722725867
"female",1,"Accounting",3.22607798576355,271.760865850884
"female",1,"Accounting",3.65891975588165,305.272717161932
"female",1,"Accounting",3.10480484883301,313.727454369317
"female",1,"Accounting",2.93953172145411,305.013114554668
"female",1,"Accounting",3.6493612961378,330.040204111196
"female",1,"Accounting",3.43013627203181,317.900174052046
"female",1,"Accounting",3.67270273580216,313.810576110078
"female",1,"Accounting",2.73945659450255,299.30072375738
"female",1,"Accounting",3.25801170971245,293.443562121399
"female",1,"Accounting",2.94952742015012,311.777221133469
"female",1,"Accounting",3.02576153147966,280.745223361318
"female",1,"Accounting",3.19996529892087,307.468054706269
"female",1,"Accounting",3.30352866305038,283.426151254616
"female",1,"Accounting",2.79555850690231,304.564571520896
"female",1,"Accounting",3.61108369361609,333.48051437099
"female",1,"Accounting",3.1744932402391,305.599992647191
"female",1,"Accounting",3.06653332528658,308.248783943902
"female",1,"Accounting",3.13926118384115,308.711578073833
"female",1,"Accounting",2.7149863245897,293.116225833381
"female",1,"Accounting",3.47481652772985,311.591488006576
"female",1,"Accounting",2.73242836962454,304.46548128616
"female",1,"Accounting",2.81000001383945,287.121161332824
